Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,20,0.005334792500619116,0.015505754172424719,0.0571610781745343,4106,0,22137,0,0.09244323280091085,0.10974016206927466,0.09073187107065188,0.4708484752725549
reranker,frequencyScore,0.1,0.9,100,5,0.060076897762302635,0.13764899688748936,0.19001384783305506,4106,0,41232,0,0.2185638612793951,0.2297909722676191,0.21447383489164284,0.2676568178227208
bridges,frequencyScore,0,0,20,1,0.23834026069131425,0.15971478892331914,0.15971478892331914,0,0,0,0,0.4778486102128506,0.43297722732258126,0.4693538847865859,0.1763311739611313
bridges,frequencyScore,0,0,20,10,0.06768265185784099,0.2427741234083109,0.4412015736614539,0,0,0,0,0.26797889477749737,0.3081005148042338,0.2684115998196428,0.3976931584768526
reranker,frequencyScore,0.1,0.9,20,3,0.12502368603988104,0.18810454575859767,0.24922940364657745,4106,0,8996,0,0.3772687733553764,0.3984711575254209,0.3737038201186553,0.25612261020698374
reranker,frequencyScore,0.5,0.5,100,10,0.00955110246974813,0.02063427634472858,0.05614552585103419,4106,0,41232,0,0.12227572155489368,0.13769824023925495,0.11901078607579088,0.39184705324695845
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,100,5,0.011214390963677313,0.01547867203261711,0.03086642183306762,4106,0,41232,0,0.11728462181480666,0.13434049078256946,0.1142725446098389,0.3389161004898088
reranker,frequencyScore,0.3,0.7,20,20,0.042660576492689756,0.18656078194042908,0.5551607156970629,4106,0,8996,0,0.20346929763824204,0.21582087409875603,0.20834892760965276,0.3746247432453784
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,20,0.004922976203078677,0.012627445416708249,0.05243321720148073,4106,0,41232,0,0.08344714859283346,0.10004980595233436,0.08112769987306724,0.46974245536419656
reranker,frequencyScoreNormalizedLog2,0.3,0.7,50,5,0.0633103025121493,0.10858434564944115,0.20979977550867412,4106,0,22137,0,0.26257696192315894,0.29231430441409545,0.2596973111386711,0.25312055617001106
reranker,frequencyScore,0.7,0.30000000000000004,100,1,0.011093384081922727,0.0062325723659263695,0.0062325723659263695,4106,0,41232,0,0.11200699105345727,0.11461244304797584,0.1094641485142205,0.2188339390109022
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,20,0.042685361012635224,0.23957648182409436,0.5555852783165028,4106,0,8996,0,0.203200825379947,0.21518790346022612,0.20833369533940327,0.3713066835203034
