Model,Method,w1,w2,K,N,MAP,MRR,CTR,missing_bridges,missing_cf,not_enough_bridges,not_enough_cf,GDPS,GAPS,APS,COV
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,1,0.006141235442230137,0.0032990693849979796,0.0032990693849979796,0,0,5174,0,0.09391130244114716,0.0966557067124699,0.0916635634520359,0.22626007268130827
reranker,frequencyScoreNormalizedLog2,0.3,0.7,100,1,0.03395696583282814,0.02324762883314552,0.02324762883314552,0,0,14093,0,0.2643248600595896,0.2655680034740888,0.26202171310535843,0.24411439405909308
reranker,frequencyScore,0.9,0.09999999999999998,50,1,0.006368713044180752,0.00336745852719591,0.00336745852719591,0,0,8748,0,0.09267328172425143,0.09621716365509793,0.09030401235601197,0.22468004424079632
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,1,0.1465317730155127,0.10533648355816684,0.10533648355816684,0,0,8748,0,0.4355278474609582,0.4399839217730724,0.42792737437123846,0.19892558066045188
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,10,0.005290236112018387,0.00978617374230799,0.02760683777866682,0,0,5174,0,0.09677675249917876,0.11430176603476624,0.09493506117494198,0.4191815452678148
reranker,frequencyScore,0.9,0.09999999999999998,50,10,0.0051208822279318125,0.008873760994513527,0.026536138136417378,0,0,8748,0,0.09290783252124157,0.10778597648607617,0.09095726096775512,0.41191341444145996
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,10,0.05574731498957544,0.17558194482173944,0.36724162977729174,0,0,8748,0,0.3147027961292933,0.3431773828513137,0.31133102726544576,0.35835045030810553
reranker,frequencyScore,0.5,0.5,20,3,0.015625259500245958,0.013137975887242217,0.02461837547470613,0,0,5174,0,0.15575449394275068,0.16268482185114058,0.15314623489793522,0.32706588718596935
bridges,frequencyScore,0,0,50,3,0.12243074609262664,0.17529600000006434,0.244503,0,0,0,0,0.4492257125259548,0.473022698278381,0.4451486572762826,0.3483962711328804
reranker,frequencyScore,0.9,0.09999999999999998,20,3,0.005959857681580107,0.005536814143042679,0.009271973189281342,0,0,5174,0,0.09088980453479646,0.09658967009504613,0.08885663914223726,0.30684152314741664
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,50,5,0.006094962273525573,0.007651888722544146,0.01585772336398817,0,0,8748,0,0.09711817650269557,0.10788201454151551,0.09443976413198539,0.3506083109495971
cf,not_used,1,0,100,1,0.00527182102700823,0.002772,0.002772,0,0,0,0,0.08205669753018471,0.08454335931805088,0.08020331454574459,0.22404803286459157
reranker,frequencyScore,0.7,0.30000000000000004,100,5,0.008299136846071751,0.011258871272848919,0.022863211235948217,0,0,14093,0,0.1190656251588112,0.12848814946480147,0.11628229453954493,0.3441301943434982
cf,not_used,1,0,100,10,0.004332444650514467,0.007251632936507928,0.02211,0,0,0,0,0.08045363822380666,0.09298456936381107,0.07882952656401364,0.4145994627903302
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,10,0.011221999070872474,0.02428466481295533,0.065827709915844,0,0,14093,0,0.15997414165045343,0.17838208309509945,0.15883651567946303,0.4130194343498183
reranker,frequencyScore,0.9,0.09999999999999998,100,20,0.0043356184024554165,0.010991202462188578,0.04552863505381339,0,0,14093,0,0.08510227740770294,0.10405157221079266,0.08364534480649452,0.4729025122452204
reranker,frequencyScoreNormalizedLog2,0.5,0.5,20,20,0.035859110241214416,0.06438518750914005,0.4284005444168126,0,0,5174,0,0.2332380512658964,0.2506222011705432,0.23281054120742664,0.49202085637541476
cf,not_used,1,0,20,20,0.0035786484293478214,0.008215925867041878,0.036334,0,0,0,0,0.07450576972458306,0.09291952202224733,0.07335226132120151,0.4784326117870122
reranker,frequencyScore,0.3,0.7,100,10,0.015170546900765143,0.029445671901727918,0.09514081957020287,0,0,14093,0,0.166341529755734,0.18242612581871165,0.164496013797423,0.365302575446358
bridges,frequencyScoreNormalizedLog2,0,0,50,5,0.09359741144058792,0.18981525000016583,0.307726,0,0,0,0,0.3987341911222658,0.42964442836396993,0.3890579439753262,0.4066993205877706
reranker,frequencyScore,0.1,0.9,50,1,0.11428264937709207,0.07666768894287225,0.07666768894287225,0,0,8748,0,0.34855307726488516,0.34560716607049796,0.3439150395302996,0.26907884341918153
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,3,0.007850913263709285,0.007102414559597625,0.012368997191468658,0,0,5174,0,0.1177123051751547,0.12430686906649022,0.1149957436268858,0.3100015800284405
reranker,frequencyScore,0.9,0.09999999999999998,50,3,0.006431258569666727,0.006207469610821952,0.010098340280776231,0,0,8748,0,0.0976317236658078,0.10437614780949307,0.09509689808906827,0.3057355032390583
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,3,0.10204181515498326,0.1478485457448083,0.20723993495095092,0,0,8748,0,0.4210885627803925,0.4427398423447768,0.4143277505166917,0.281719070943277
reranker,frequencyScore,0.1,0.9,50,10,0.041346754043975545,0.12141308756295005,0.26740122592438653,0,0,8748,0,0.2678054314388676,0.29534147325470633,0.26484086026130765,0.37178069205245695
reranker,frequencyScore,0.5,0.5,20,5,0.025694180375385647,0.02156553005249959,0.06282706724593044,0,0,5174,0,0.16229615700648292,0.17777109960195883,0.15940123867058034,0.38110285985147735
bridges,frequencyScore,0,0,50,5,0.09359741144058792,0.18981525000016583,0.307726,0,0,0,0,0.3987341911222658,0.42964442836396993,0.3890579439753262,0.4066993205877706
reranker,frequencyScore,0.9,0.09999999999999998,20,5,0.005761992677774447,0.006808644593794408,0.014877978661595093,0,0,5174,0,0.09173872270867095,0.10200192490108591,0.08930562047403302,0.3504503081055459
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,1,0.008745886893054555,0.004722310774656697,0.004722310774656697,0,0,8748,0,0.11469644014521069,0.11856393328830943,0.11234772424162334,0.22831410965397378
cf,not_used,1,0,50,5,0.004979251188130831,0.00602924999999961,0.012785,0,0,0,0,0.08284949605472124,0.08905802764941996,0.08199325171593129,0.3507663137936483
cf,not_used,1,0,100,3,0.005122676867199619,0.004944500000000012,0.007964,0,0,0,0,0.08311614980286304,0.08681370878759978,0.08211400337225301,0.3060515089271607
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,10,0.00705462950617404,0.012556873321468258,0.03765641834770573,0,0,8748,0,0.12504651301237737,0.14217590014658493,0.12366360713747933,0.4112814030652552
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,3,0.015384677631449493,0.01818968050062957,0.027516794180384153,0,0,14093,0,0.18685450097059056,0.19241074847470568,0.18483960462910531,0.3392321061779112
reranker,frequencyScore,0.3,0.7,100,3,0.01649875239626881,0.01953531113989468,0.030666178452937246,0,0,14093,0,0.15529970344373203,0.15742950976079279,0.1530538567444015,0.3096855743403381
reranker,frequencyScore,0.3,0.7,20,1,0.09452582364361696,0.07063647311188087,0.07063647311188087,0,0,5174,0,0.3856951497236862,0.3841430534483105,0.38206464335357665,0.2633907410333386
reranker,frequencyScoreNormalizedLog2,0.5,0.5,50,20,0.026546148131422875,0.04018906451600756,0.30046748959901215,0,0,8748,0,0.18908323318435358,0.2116699755229081,0.18724436110229653,0.46974245536419656
reranker,frequencyScore,0.1,0.9,50,3,0.06807785339144005,0.09894927492367465,0.12971978871164952,0,0,8748,0,0.30855577294641146,0.31597867854303546,0.30507757545113295,0.3280139042502765
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,20,5,0.007307161108366945,0.00865580178510212,0.0191902905633749,0,0,5174,0,0.11760576452910476,0.13029758149511145,0.11490251107534877,0.35376836783062093
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,1,0.00792332606994672,0.004241779397042521,0.004241779397042521,0,0,14093,0,0.10566813918386392,0.1093534316242481,0.10265901138526279,0.22452204139674514
reranker,frequencyScore,0.3,0.7,20,10,0.056254778882361994,0.14688660957190222,0.3722731412327382,0,0,5174,0,0.31714115649893104,0.3459893792524168,0.3137265587332558,0.4122294201295623
reranker,frequencyScore,0.9,0.09999999999999998,50,5,0.005964563335879798,0.007429711785364413,0.015489502164938886,0,0,8748,0,0.0974299431473056,0.10714112400303585,0.09474403550579662,0.35013430241744353
reranker,frequencyScoreNormalizedLog2,0.1,0.9,50,5,0.0826251980088938,0.16329855240312094,0.2750844386694806,0,0,8748,0,0.3801572603618725,0.41212707808212756,0.3732501647220841,0.3182177279191025
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,1,0.15715272425986065,0.11230707681544311,0.11230707681544311,0,0,5174,0,0.4401442706700706,0.44323850273382986,0.43351822810574625,0.21077579396429136
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,20,20,0.0035661259854575813,0.00898002408664375,0.036218393970402864,0,0,5174,0,0.07450129237683903,0.0929168534358312,0.07334920544483929,0.4784326117870122
reranker,frequencyScoreNormalizedLog2,0.9,0.09999999999999998,100,10,0.0055373400116775036,0.010212018371738822,0.029192408614605637,0,0,14093,0,0.09714299589112314,0.11320970093431326,0.09518540654478644,0.41112340022120397
reranker,frequencyScore,0.3,0.7,50,20,0.03206835460964228,0.08187718087731352,0.41699587995787146,0,0,8748,0,0.23333350874080974,0.2563656952839461,0.2338742724065931,0.40480328645915625
reranker,frequencyScore,0.1,0.9,20,5,0.0796080526705183,0.15630773622723973,0.2637627082524984,0,0,5174,0,0.3748574734574532,0.4062292364451825,0.36750077411171556,0.3528203507663138
reranker,frequencyScoreNormalizedLog2,0.1,0.9,20,10,0.057092259533852975,0.1848533175733059,0.3784420592143752,0,0,5174,0,0.3198690361344014,0.3467363243940046,0.31640537343021363,0.4035392637067467
bridges,frequencyScoreNormalizedLog2,0,0,100,20,0.03768544338130501,0.20750298265360342,0.496965,0,0,0,0,0.25960999526566486,0.2719580704272762,0.26405318406335493,0.5419497550955917
reranker,frequencyScore,0.7,0.30000000000000004,20,1,0.0060601061535113295,0.0032538353440702194,0.0032538353440702194,0,0,5174,0,0.0933827434689595,0.09602106723841232,0.09118185829759895,0.22594406699320588
reranker,frequencyScoreNormalizedLog2,0.7,0.30000000000000004,50,3,0.008807987716838661,0.008688338922224552,0.014177020575998837,0,0,8748,0,0.12581060273302258,0.13276057589708767,0.12321276158553802,0.31331963975351557
bridges,frequencyScore,0,0,100,20,0.03768544338130501,0.20750298265360342,0.496965,0,0,0,0,0.25960999526566486,0.2719580704272762,0.26405318406335493,0.5419497550955917
reranker,frequencyScoreNormalizedLog2,0.5,0.5,100,5,0.013320155059756781,0.020887145880225007,0.03942359674898342,0,0,14093,0,0.18051419875771377,0.1923990388406101,0.17883213358900746,0.36925264654763784
reranker,frequencyScore,0.7,0.30000000000000004,50,20,0.004966160490763675,0.013112449626387362,0.052978455528967405,0,0,8748,0,0.10063569397164458,0.12001676174754762,0.09974097662397188,0.4722705008690156
reranker,frequencyScore,0.3,0.7,100,5,0.015490860539719247,0.023432636141138833,0.04795178449894361,0,0,14093,0,0.15925590886286528,0.1659868349947865,0.15706719496034025,0.3392321061779112
